indice,metodo,km_descricao,km_marco_m,distancia_eixo_m,area_m2,latitude,longitude
113,Apenas manual,5,5000,100.5,380.516494378339,-23.44418378541503,-46.7784493870438
114,Apenas manual,5,5000,116.9,167.53648807925,-23.44414536996409,-46.7786580301134
115,Apenas manual,5,5000,29.8,3305.61250240185,-23.44311760121961,-46.7758254120661
116,Apenas manual,5,5500,58.3,614.388085334926,-23.44691685701583,-46.781563307223
117,Apenas manual,5,4500,42.1,1127.61333531602,-23.44193755772118,-46.7743708385311
118,Apenas manual,5,4500,51.0,671.614129363475,-23.44196325280407,-46.7745487186095
119,"Spider, Giro-Zero ou Trator com trincheira",5,4500,37.3,54.5825112625444,-23.44188966785925,-46.7742262946899
120,Apenas manual,5,5500,63.3,136.688035545631,-23.44781356763691,-46.7808648573435
121,Apenas manual,5,5500,66.3,107.623622507273,-23.44656786087,-46.7812384820417
122,Apenas manual,5,5500,78.8,210.043847479478,-23.44666413242248,-46.7815556897204
123,Apenas manual,5,5000,26.8,2495.81866216495,-23.44457168896347,-46.7769542863542
124,Apenas manual,5,5000,69.8,250.550816909164,-23.44408095126144,-46.7755798864441
125,"Spider, Giro-Zero ou Trator com trincheira",5,5500,17.9,221.344688689357,-23.44605626286986,-46.7791741609538
126,"Spider, Giro-Zero ou Trator com trincheira",5,5500,27.1,30.2635051811696,-23.44694285606472,-46.7802675460514
127,"Spider, Giro-Zero ou Trator com trincheira",5,5500,29.1,27.6799400730656,-23.44717290015313,-46.7805581622901
128,"Spider, com ancoragem",5,5500,50.9,43.6513578392293,-23.44648458190593,-46.7808755870701
129,"Spider, Giro-Zero ou Trator com trincheira",5,5500,61.9,1535.99999995242,-23.4477795235925,-46.7808430774076
130,Trator com braço articulado,5,5000,28.7,2495.81839350954,-23.44458464292022,-46.7769415176362
131,"Spider, com ancoragem",5,5500,55.1,130.97883700771,-23.44635544591115,-46.7807613310376
132,"Spider, com ancoragem",5,5500,54.2,340.04613506503,-23.44576738031551,-46.7799237241633
133,"Spider, com ancoragem",5,5500,44.5,56.6046744450091,-23.44585437419442,-46.7798911367658
134,"Spider, Giro-Zero ou Trator com trincheira",5,5000,65.8,7922.4819297774,-23.44384781657161,-46.7774225836559
135,"Spider, Giro-Zero ou Trator com trincheira",5,5000,41.7,7379.53690464562,-23.44440237952387,-46.7764784435459
136,"Spider, Giro-Zero ou Trator com trincheira",5,5000,49.7,301.481068636374,-23.44434592909266,-46.7778625862039
137,"Spider, Giro-Zero ou Trator com trincheira",5,4500,4.5,6966.8026861703,-23.44275504714896,-46.7749128694133
138,"Spider, Giro-Zero ou Trator com trincheira",5,5500,45.4,1863.00000001153,-23.44606950476937,-46.7787532617453
139,"Spider, Giro-Zero ou Trator com trincheira",5,4500,28.7,60.4112636712341,-23.44244100106599,-46.7748603508106
140,"Spider, Giro-Zero ou Trator com trincheira",5,5500,28.3,1728.47971873127,-23.44614141614943,-46.7791271550819
141,"Spider, Giro-Zero ou Trator com trincheira",5,5500,54.1,1441.24142052777,-23.44700144454792,-46.781605015387
142,"Spider, Giro-Zero ou Trator com trincheira",5,4500,42.8,3605.18107862225,-23.44225616521236,-46.7748276148414
143,"Spider, Giro-Zero ou Trator com trincheira",6,6000,272.3,5497.44646365775,-23.44786684626514,-46.7859207359177
144,Apenas manual,6,6500,181.6,585.417165483152,-23.45275130987675,-46.7852147582907
145,Apenas manual,6,6500,161.6,866.114339163199,-23.45254708832926,-46.7852594034351
146,Apenas manual,6,6000,78.5,131.817951031576,-23.44964106086882,-46.7828991694048
147,"Spider, com ancoragem",6,6500,207.7,371.00000001266,-23.45328351980236,-46.7854851284917
148,Apenas manual,6,6000,240.9,1630.79790892522,-23.44801417512561,-46.7856353306025
149,Apenas manual,6,6500,195.5,306.370061094305,-23.45285978711083,-46.785142560792
