km_marco_m,data_imagem,ndvi_mediana,n_pixels,nuvem_pct
1000,2021-04-11,0.5295,98,0.0
1000,2021-05-01,0.5142,98,0.0
1000,2021-05-06,0.4811,98,0.0
1000,2021-05-21,0.4824,98,0.0
1000,2021-05-26,0.4819,98,0.0
1000,2021-06-05,0.4512,98,0.0
1000,2021-07-10,0.3847,98,0.0
1000,2021-07-20,0.3624,98,0.0
1000,2021-07-25,0.3296,98,0.0
1000,2021-07-30,0.3435,98,0.0
1000,2021-08-09,0.2948,98,0.0
1000,2021-08-19,0.2911,98,0.0
1000,2021-08-24,0.3099,98,0.0
1000,2021-09-03,0.3227,98,0.0
1000,2021-09-08,0.3144,98,0.0
1000,2021-09-23,0.3622,98,0.0
1000,2021-09-28,0.3466,98,0.0
1000,2021-10-08,0.3611,98,0.0
1000,2021-10-13,0.4049,98,0.0
1000,2021-10-23,0.407,98,0.0
1000,2021-11-07,0.4193,98,0.0
1000,2021-11-17,0.3727,98,0.0
1000,2021-11-22,0.4357,98,0.0
1000,2021-12-07,-0.0019,98,0.0
1000,2021-12-12,0.3388,98,0.0
1000,2021-12-22,0.3605,96,0.0204
1000,2022-01-16,0.4516,98,0.0
1000,2022-01-21,0.5303,98,0.0
1000,2022-01-26,0.4396,98,0.0
1000,2022-02-10,0.5412,98,0.0
1000,2022-02-20,0.5141,98,0.0
1000,2022-03-02,0.5646,98,0.0
1000,2022-03-07,0.4814,98,0.0
1000,2022-03-22,0.5184,98,0.0
1000,2022-04-06,0.5131,98,0.0
1000,2022-04-11,0.5639,98,0.0
1000,2022-04-21,0.4733,98,0.0
1000,2022-04-26,0.521,98,0.0
1000,2022-05-01,0.5183,98,0.0
1000,2022-05-06,0.3271,83,0.1531
1000,2022-05-11,0.5012,98,0.0
1000,2022-05-21,0.4738,98,0.0
1000,2022-05-26,0.4194,98,0.0
1000,2022-06-05,0.3964,98,0.0
1000,2022-06-25,0.3571,98,0.0
1000,2022-06-30,0.373,98,0.0
1000,2022-07-05,0.36,98,0.0
1000,2022-07-10,0.3175,98,0.0
1000,2022-07-20,0.3418,97,0.0102
1000,2022-07-25,0.3386,98,0.0
1000,2022-07-30,0.3531,98,0.0
1000,2022-08-14,0.3576,98,0.0
1000,2022-08-24,0.3399,98,0.0
1000,2022-09-18,0.3302,98,0.0
1000,2022-09-23,0.3396,98,0.0
