km_marco_m,ndvi_medio,ndvi_mediana,ndvi_p10,ndvi_p90,n_pixels,nuvem_pct,data_imagem,data_alvo,defasagem_dias
13500,0.5421796368526134,0.6075152657887448,0.19524336283185842,0.7913446676970634,65,0.0,2026-03-21,2026-03-20,1
14000,0.44020956606971007,0.44326444602803566,0.1685665722004898,0.720998483577841,249,0.0,2026-03-21,2026-03-20,1
14500,0.3614741462056531,0.3115696004178637,0.20908845009467136,0.5939372576665491,4,0.0,2026-03-21,2026-03-20,1
15000,0.5727636289635049,0.6227497945757192,0.29516577747332035,0.7909411505994408,265,0.0,2026-03-21,2026-03-20,1
15500,0.38150789170692656,0.39167189951210457,0.08844949309994292,0.699713347554383,57,0.0,2026-03-21,2026-03-20,1
16000,0.34137479982023816,0.3409017191047681,0.13482142857142856,0.5159842961301178,2,0.6667,2026-03-21,2026-03-20,1
16500,0.1121910957586418,0.1123478482449195,0.07347819900438768,0.15735903526919195,125,0.2331,2026-03-21,2026-03-20,1
17000,0.3326570987245168,0.3185493201940472,0.15483470090793405,0.5492946786650443,39,0.0,2026-03-21,2026-03-20,1
17500,0.4757571394365103,0.5609794925020442,0.12017971815002058,0.7367988874885989,168,0.0,2026-03-21,2026-03-20,1
18000,0.48936055276632956,0.5326072161738167,0.19011296310479348,0.6959247648902821,283,0.0,2026-03-21,2026-03-20,1
18500,0.5025334260260567,0.5440613054678592,0.2380952380952381,0.6968926567509209,62,0.0,2026-03-21,2026-03-20,1
19000,0.5290001001460075,0.5555789739749125,0.15052144898306624,0.8106178619167841,488,0.0,2026-03-21,2026-03-20,1
19500,0.5950391144836845,0.6106259690526963,0.3220236871755019,0.8262813582826085,312,0.0,2026-03-21,2026-03-20,1
20000,0.5140037342126547,0.537258270487111,0.2156219629481927,0.7786035952417318,400,0.0,2026-03-21,2026-03-20,1
20500,0.5377759745297328,0.5962329284133284,0.2011730670036313,0.7738667980992476,77,0.0,2026-03-21,2026-03-20,1
21000,0.3764812622980658,0.4068747433677891,0.1453146220009054,0.5524797157141043,80,0.0,2026-03-21,2026-03-20,1
21500,0.3538525012151145,0.3256701002030504,0.13458242083511152,0.6388940028828535,146,0.0,2026-03-21,2026-03-20,1
22000,0.4016797835360762,0.3927130828212128,0.16987356796532144,0.6826077615534011,297,0.0,2026-03-21,2026-03-20,1
22500,0.4225074699611716,0.44766424030926766,0.22592238257158992,0.6430697942318518,90,0.0,2026-03-21,2026-03-20,1
23000,0.4387881969152893,0.41547606217524674,0.16960635375049346,0.7668135095447871,194,0.251,2026-03-21,2026-03-20,1
23500,0.753743679060171,0.7453646477132262,0.6321090047393365,0.8342757720748152,1,0.9978,2026-03-21,2026-03-20,1
24000,,,,,0,1.0,2026-03-21,2026-03-20,1
24500,,,,,0,1.0,2026-03-21,2026-03-20,1
25000,,,,,0,1.0,2026-03-21,2026-03-20,1
25500,,,,,0,1.0,2026-03-21,2026-03-20,1
26000,,,,,0,1.0,2026-03-21,2026-03-20,1
26500,,,,,0,1.0,2026-03-21,2026-03-20,1
27000,,,,,0,1.0,2026-03-21,2026-03-20,1
27500,,,,,0,1.0,2026-03-21,2026-03-20,1
28000,,,,,0,1.0,2026-03-21,2026-03-20,1
28500,,,,,0,1.0,2026-03-21,2026-03-20,1
0,,,,,0,1.0,2025-03-31,2025-03-28,3
500,,,,,0,1.0,2025-03-31,2025-03-28,3
1000,,,,,0,1.0,2025-03-31,2025-03-28,3
1500,,,,,0,1.0,2025-03-31,2025-03-28,3
2000,,,,,0,1.0,2025-03-31,2025-03-28,3
3500,,,,,0,1.0,2025-03-31,2025-03-28,3
4000,,,,,0,1.0,2025-03-31,2025-03-28,3
4500,,,,,0,1.0,2025-03-31,2025-03-28,3
5000,,,,,0,1.0,2025-03-31,2025-03-28,3
5500,,,,,0,1.0,2025-03-31,2025-03-28,3
6000,,,,,0,1.0,2025-03-31,2025-03-28,3
6500,,,,,0,1.0,2025-03-31,2025-03-28,3
7000,,,,,0,1.0,2025-03-31,2025-03-28,3
8500,,,,,0,1.0,2025-03-31,2025-03-28,3
9000,,,,,0,1.0,2025-03-31,2025-03-28,3
9500,,,,,0,1.0,2025-03-31,2025-03-28,3
10000,,,,,0,1.0,2025-03-31,2025-03-28,3
10500,,,,,0,1.0,2025-03-31,2025-03-28,3
11000,,,,,0,1.0,2025-03-31,2025-03-28,3
11500,,,,,0,1.0,2025-03-31,2025-03-28,3
12000,,,,,0,1.0,2025-03-31,2025-03-28,3
12500,,,,,0,1.0,2025-03-31,2025-03-28,3
13000,,,,,0,1.0,2025-03-31,2025-03-28,3
13500,,,,,0,1.0,2025-03-31,2025-03-28,3
14000,0.30589687828857987,0.2838337174792181,0.12235157850237056,0.5573597566398601,163,0.3454,2025-03-31,2025-03-28,3
14500,0.24624756331090505,0.1868047564250096,0.09894736842105263,0.5026308501800055,4,0.0,2025-03-31,2025-03-28,3
15000,0.49641357953917553,0.5263270886591291,0.2239884979689147,0.7286161488916303,264,0.0,2025-03-31,2025-03-28,3
15500,0.34534607861145084,0.3518248175182482,0.03252990658794822,0.6848496528585211,57,0.0,2025-03-31,2025-03-28,3
16000,0.2650285488963914,0.283373997908679,0.09048099562731247,0.45047287207565956,6,0.0,2025-03-31,2025-03-28,3
16500,0.059626416102652194,0.059376825183632624,-0.003297627764624739,0.12206292429200392,163,0.0,2025-03-31,2025-03-28,3
17000,0.3006555861754679,0.27941906207965034,0.10143042912873862,0.5119089070330625,39,0.0,2025-03-31,2025-03-28,3
17500,0.41700044977759654,0.502082525181654,0.0720988533394292,0.6717948717948717,168,0.0,2025-03-31,2025-03-28,3
18000,0.44192723642749665,0.48253067194693344,0.17812040625195524,0.6272457982110724,283,0.0,2025-03-31,2025-03-28,3
18500,0.5045116947340619,0.5795215294628483,0.2259510518888833,0.6728525044353134,62,0.0,2025-03-31,2025-03-28,3
19000,0.4718923224838622,0.517213118681327,0.11166762899228883,0.7318725492765764,488,0.0,2025-03-31,2025-03-28,3
19500,0.5661588117864101,0.5800771171076454,0.33843323084446997,0.7765848460774223,312,0.0,2025-03-31,2025-03-28,3
20000,0.46636713803345564,0.5041044676615686,0.18991983953884817,0.6833210945663686,397,0.0075,2025-03-31,2025-03-28,3
20500,0.40680788419952346,0.4132915675555332,0.16975624904559866,0.6243540777353404,74,0.039,2025-03-31,2025-03-28,3
21000,0.375590506954024,0.4046198386607184,0.13476377699267095,0.5762788142144946,80,0.0,2025-03-31,2025-03-28,3
21500,0.38616365664430874,0.3791706530909491,0.16662514701828582,0.6377626422245742,146,0.0,2025-03-31,2025-03-28,3
22000,0.4292224392875728,0.42033188781995984,0.20608067533918287,0.650787731970705,297,0.0,2025-03-31,2025-03-28,3
22500,0.36004991810684117,0.3614955553610558,0.17340103235097623,0.5565292020710192,90,0.0,2025-03-31,2025-03-28,3
23000,0.4318629242279613,0.41587506751490827,0.1964177176296837,0.7042351072358736,259,0.0,2025-03-31,2025-03-28,3
23500,0.5465011855323335,0.5681106103774088,0.2677801568178405,0.7746870473883768,449,0.0,2025-03-31,2025-03-28,3
24000,0.48132238300886626,0.49421941075083586,0.2912459997086877,0.6537597821192146,549,0.0,2025-03-31,2025-03-28,3
24500,0.5117995876270457,0.5494463535700649,0.1924488725747247,0.791911671625804,195,0.0,2025-03-31,2025-03-28,3
25000,0.3396700809435166,0.31471637805524316,0.15087585385915722,0.5668981429374502,80,0.0,2025-03-31,2025-03-28,3
25500,0.579700288696444,0.6114198209228943,0.32181425485961124,0.7562408326109841,58,0.0,2025-03-31,2025-03-28,3
26000,0.5227128751634961,0.5450576344587633,0.30025122332768434,0.6889623753461658,124,0.0,2025-03-31,2025-03-28,3
26500,0.4548454294924165,0.47881337865140117,0.2586867247674872,0.6505529890428043,240,0.0,2025-03-31,2025-03-28,3
27000,0.5835616656084706,0.6305964274371177,0.3374842146060759,0.7364444845817104,223,0.0,2025-03-31,2025-03-28,3
27500,0.5320030848404161,0.5520257821941721,0.31798342884974207,0.6897015809005608,60,0.0,2025-03-31,2025-03-28,3
28000,0.40273920123186885,0.36911281489594744,0.2658427557191691,0.5967607973421927,8,0.0,2025-03-31,2025-03-28,3
28500,0.43206906053973654,0.43602532919761156,0.20792688328086945,0.6780355570416149,142,0.1013,2025-03-31,2025-03-28,3
